name,value,units
height,157.37,cm
chestGirth,133.0531990764641,cm
waistGirth,138.46725920949038,cm
hipGirth,118.32808837683308,cm
rThighGirth,69.9237163428882,cm
lThighGirth,64.09222666728141,cm
rCalfGirth,47.65837107110057,cm
lCalfGirth,47.4379953564625,cm
rAnkleGirth,28.166393724902367,cm
lAnkleGirth,29.52803941359937,cm
rBicepGirth,43.160465913065885,cm
lBicepGirth,42.27510665808285,cm
rForearmGirth,30.76614055677075,cm
lForearmGirth,25.516544158740217,cm
rWristGirth,24.958683800272972,cm
lWristGirth,20.660974277201806,cm
rArmLength,33.17578664992081,cm
lArmLength,44.01109123967237,cm
rLegLength,68.07083444934293,cm
lLegLength,68.08083289559592,cm
trunkLength,49.120651174248216,cm
crotchHeight,56.150064859303406,cm
collarScalpLength,150.34373681666955,cm
SA_total,20179.305030005475,cm^2
SA_head,2300.9692927617057,cm^2
SA_trunk,8806.538463199558,cm^2
SA_rArm,1788.4923071204216,cm^2
SA_lArm,1747.1309950242796,cm^2
SA_rleg,3351.542944632884,cm^2
SA_lleg,3207.4707344742837,cm^2
VOL_total,119924.55016700005,cm^3
VOL_head,8314.941266100052,cm^3
VOL_trunk,78913.85919262686,cm^3
VOL_rArm,4707.673536215307,cm^3
VOL_lArm,4696.322759307863,cm^3
VOL_rleg,11916.698347916663,cm^3
VOL_lleg,11375.055064833323,cm^3
rAnkleGirth_fixed,29.52803941359937,cm
lAnkleGirth_fixed,28.166393724902367,cm
trunkLength_fixed,71.82533611453046,cm
collarScalpLength_fixed,29.414105884762165,cm
