name,value,units
height,178.07,cm
chestGirth,91.32220838600915,cm
waistGirth,91.22034850359873,cm
hipGirth,107.55991945622344,cm
rThighGirth,59.45725790897612,cm
lThighGirth,61.505106619811265,cm
rCalfGirth,42.63572298768014,cm
lCalfGirth,42.34980567441431,cm
rAnkleGirth,25.87683361392976,cm
lAnkleGirth,25.46559290780604,cm
rBicepGirth,32.297087978471545,cm
lBicepGirth,31.78809667618581,cm
rForearmGirth,28.418197218737824,cm
lForearmGirth,24.464934449408403,cm
rWristGirth,18.11500398503957,cm
lWristGirth,19.131253654250386,cm
rArmLength,50.84808572468318,cm
lArmLength,53.77597019884047,cm
rLegLength,86.8406659553,cm
lLegLength,86.8406659553,cm
trunkLength,71.49236980011027,cm
crotchHeight,73.67182148774586,cm
collarScalpLength,175.92807536035855,cm
SA_total,19171.80667557105,cm^2
SA_head,2142.8624187734854,cm^2
SA_trunk,5972.478480637571,cm^2
SA_rArm,1999.4517704438085,cm^2
SA_lArm,1961.2587904515567,cm^2
SA_rleg,3820.873497861485,cm^2
SA_lleg,3982.0122220737408,cm^2
VOL_total,80302.73632733323,cm^3
VOL_head,7302.900689789773,cm^3
VOL_trunk,39350.12622334092,cm^3
VOL_rArm,4469.809731420518,cm^3
VOL_lArm,4304.363407032014,cm^3
VOL_rleg,12053.365700000008,cm^3
VOL_lleg,12822.170575749999,cm^3
rAnkleGirth_fixed,25.46559290780604,cm
lAnkleGirth_fixed,25.87683361392976,cm
trunkLength_fixed,69.59374178357186,cm
collarScalpLength_fixed,34.996908792063316,cm
