name,value,units
height,177.61,cm
chestGirth,93.98972403274068,cm
waistGirth,91.46093945419962,cm
hipGirth,107.5899904051766,cm
rThighGirth,61.01001915999882,cm
lThighGirth,60.76300389535959,cm
rCalfGirth,42.589876979618424,cm
lCalfGirth,42.57283736673171,cm
rAnkleGirth,25.62075757191754,cm
lAnkleGirth,26.486720481652352,cm
rBicepGirth,33.582621957549314,cm
lBicepGirth,32.3641985278323,cm
rForearmGirth,29.698880015376915,cm
lForearmGirth,29.430439172541647,cm
rWristGirth,18.587730278464797,cm
lWristGirth,19.05589259707294,cm
rArmLength,48.71545045199338,cm
lArmLength,49.36429974502932,cm
rLegLength,86.95128251273812,cm
lLegLength,86.95128251273812,cm
trunkLength,71.96664462067366,cm
crotchHeight,73.73020626635027,cm
collarScalpLength,175.8855157481707,cm
SA_total,19394.59993436396,cm^2
SA_head,2161.1231409026914,cm^2
SA_trunk,6011.557144529164,cm^2
SA_rArm,2034.4168951606532,cm^2
SA_lArm,1980.2977751123415,cm^2
SA_rleg,3929.910350144127,cm^2
SA_lleg,4053.7259500214814,cm^2
VOL_total,81047.8040433334,cm^3
VOL_head,7368.668545417788,cm^3
VOL_trunk,39164.82891510924,cm^3
VOL_rArm,4654.3861806354535,cm^3
VOL_lArm,4315.31716117096,cm^3
VOL_rleg,12601.04225574998,cm^3
VOL_lleg,12943.560985249977,cm^3
rAnkleGirth_fixed,26.486720481652352,cm
lAnkleGirth_fixed,25.62075757191754,cm
trunkLength_fixed,69.8362759661582,cm
collarScalpLength_fixed,34.25365163015471,cm
