name,value,units
height,175.88,cm
chestGirth,117.61366673614862,cm
waistGirth,113.4694782500053,cm
hipGirth,107.55774923155064,cm
rThighGirth,57.249192854751186,cm
lThighGirth,56.05094921058109,cm
rCalfGirth,38.676975055195186,cm
lCalfGirth,37.00161589988698,cm
rAnkleGirth,23.144507590547764,cm
lAnkleGirth,24.083678250447548,cm
rBicepGirth,40.65406142439369,cm
lBicepGirth,33.03691721192228,cm
rForearmGirth,33.130332814621646,cm
lForearmGirth,30.50760837130324,cm
rWristGirth,23.500827940934762,cm
lWristGirth,22.964534669304328,cm
rArmLength,44.147093489941696,cm
lArmLength,35.80912205531443,cm
rLegLength,87.84779506502362,cm
lLegLength,87.84779506502362,cm
trunkLength,63.53921784259993,cm
crotchHeight,76.04841203594383,cm
collarScalpLength,163.4130331399549,cm
SA_total,20145.172858937523,cm^2
SA_head,1865.0584312603444,cm^2
SA_trunk,7397.438252794432,cm^2
SA_rArm,2175.629754642591,cm^2
SA_lArm,1736.2802430620222,cm^2
SA_rleg,3744.8595166142777,cm^2
SA_lleg,3632.644794473657,cm^2
VOL_total,98838.41474716748,cm^3
VOL_head,6548.375189384462,cm^3
VOL_trunk,60205.10691817243,cm^3
VOL_rArm,5320.5997718763365,cm^3
VOL_lArm,3966.53967340088,cm^3
VOL_rleg,11622.416265833239,cm^3
VOL_lleg,11175.376928500118,cm^3
rAnkleGirth_fixed,24.083678250447548,cm
lAnkleGirth_fixed,23.144507590547764,cm
trunkLength_fixed,72.68229240314889,cm
collarScalpLength_fixed,27.407754377183114,cm
